epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2262.39,0.20057,0.51637,0.90462,0.98676,0.96562,0.98611,0.95364,0.38195,0.43953,0.55614,0.000666369,0.000666369,0.000666369
2,4426.52,0.16313,0.15706,0.87968,0.96663,0.91738,0.96245,0.91647,0.68349,0.80537,0.81817,0.00120107,0.00120107,0.00120107
3,7185.74,0.13637,0.12591,0.86713,0.99544,0.77338,0.95407,0.88866,0.71931,1.41166,0.7147,0.00160376,0.00160376,0.00160376
4,9310.49,0.11237,0.10018,0.85834,0.95912,0.7687,0.90706,0.79148,0.88481,1.5318,0.72361,0.001406,0.001406,0.001406
5,11431.5,0.09854,0.09125,0.85501,0.92848,0.74557,0.87948,0.81768,1.0022,1.73604,0.81149,0.001208,0.001208,0.001208
6,13542.8,0.09228,0.08646,0.85291,0.748,0.78058,0.84017,0.7281,1.32525,2.28298,1.05155,0.00101,0.00101,0.00101
7,15673.6,0.07877,0.07356,0.84892,0.91673,0.77287,0.88073,0.84138,0.93199,1.74245,0.83354,0.000812,0.000812,0.000812
8,17858,0.06829,0.06203,0.84805,0.79193,0.67096,0.78964,0.70934,1.10716,1.95411,0.86445,0.000614,0.000614,0.000614
9,19972.9,0.05954,0.05204,0.84616,0.73499,0.67118,0.74799,0.65139,1.43452,2.34183,1.06579,0.000416,0.000416,0.000416
10,22088,0.05223,0.04431,0.84496,0.63859,0.71577,0.74264,0.62965,1.4794,2.64773,1.14341,0.000218,0.000218,0.000218
